direction,amount_in,price_a_usd,price_b_usd
A_TO_B,9111352377155.771,3288.87,95347.88
A_TO_B,172544449067431.75,3288.87,95347.88
A_TO_B,21313908690569.234,3290.29,95397.15
A_TO_B,201623202731131.9,3290.29,95397.15
B_TO_A,3.5858814050727684e-12,3289.44,95397.15
A_TO_B,229334514787726.03,3289.44,95397.15
A_TO_B,26168099316657.543,3289.74,95422.05
A_TO_B,267659906903383.56,3289.74,95422.05
A_TO_B,24177017735755.203,3290.15,95445.5
A_TO_B,311435445599254.4,3290.15,95445.5
B_TO_A,2.8453455225942006e-12,3290.32,95446.81
A_TO_B,353368671613794.9,3290.32,95446.81
B_TO_A,1.862770355151592e-12,3290.76,95447.99
A_TO_B,402329554467892.6,3290.76,95447.99
A_TO_B,462678987638076.5,3290.56,95449.43
A_TO_B,67146304552219.97,3288.26,95371.64
A_TO_B,542152781466621.0,3288.26,95371.64
A_TO_B,623475698686614.1,3288.47,95378.33
A_TO_B,50832990116663.59,3288.84,95378.33
A_TO_B,724622002007105.9,3288.84,95378.33
A_TO_B,833315302308171.8,3289.11,95389.68
A_TO_B,958312597654397.5,3288.72,95389.67
A_TO_B,1102059487302557.0,3288.47,95389.68
A_TO_B,1267368410397940.5,3286.44,95366.65
B_TO_A,6.205138531712212e-13,3286.66,95358.48
A_TO_B,1440177220136416.5,3286.66,95358.48
A_TO_B,1656203803156878.8,3285.07,95334.83
A_TO_B,246532743186674.38,3286.45,95358.36
A_TO_B,1941614285108411.8,3286.45,95358.36
A_TO_B,2232856427874673.5,3286.38,95371.21
A_TO_B,55827147625958.85,3286.88,95383.03
A_TO_B,2576158964199768.0,3286.88,95383.03
B_TO_A,9.271389972924035e-14,3284.88,95329.92
A_TO_B,2951815839147904.0,3284.88,95329.92
A_TO_B,335995969041087.8,3284.22,95279.19
A_TO_B,3444987610376253.0,3284.22,95279.19
A_TO_B,3961735751932690.5,3283.04,95270.0
A_TO_B,4555996114722594.0,3287.58,95419.54
A_TO_B,144411117890105.9,3288.17,95374.85
A_TO_B,5261057199614499.0,3288.17,95374.85
A_TO_B,6050215779556674.0,3285.4,95324.83
B_TO_A,2.1340648216393116e-13,3286.63,95412.58
A_TO_B,6823207419815849.0,3286.63,95412.58
A_TO_B,414927925076846.3,3287.85,95412.59
A_TO_B,7908927721549753.0,3287.85,95412.59
B_TO_A,5.185123156863894e-14,3287.84,95412.58
A_TO_B,9038660227884920.0,3287.84,95412.58
A_TO_B,1.0394459262067658e+16,3294.3,95465.98
A_TO_B,1.1953628151377808e+16,3292.86,95450.0
B_TO_A,1.0744728053159963e-13,3290.78,95443.05
A_TO_B,1.3482222488041002e+16,3290.78,95443.05
A_TO_B,1798794533656401.0,3290.78,95443.06
A_TO_B,1.5774375041295614e+16,3290.78,95443.06
A_TO_B,2338652478883530.5,3292.43,95470.57
A_TO_B,1.849132916932249e+16,3292.43,95470.57
A_TO_B,2.126502854472086e+16,3292.57,95494.02
A_TO_B,2368889700067619.5,3292.25,95465.98
A_TO_B,2.4810116281439132e+16,3292.25,95465.98
A_TO_B,1083036388264179.0,3292.25,95474.95
A_TO_B,2.8694089181894628e+16,3292.25,95474.95
A_TO_B,3.2998202559178824e+16,3292.8,95480.56
B_TO_A,3.8795108204147225e-14,3294.1,95514.0
A_TO_B,3.7220264680690456e+16,3294.1,95514.0
A_TO_B,4.2803304382794024e+16,3295.67,95494.7
A_TO_B,2841848524620415.5,3295.53,95496.63
A_TO_B,4.96500773189062e+16,3295.53,95496.63
A_TO_B,5.709758891674212e+16,3293.01,95465.97
A_TO_B,6.566222725425344e+16,3293.83,95478.23
B_TO_A,1.3973542943061059e-14,3294.8,95481.11
A_TO_B,7.446809341896771e+16,3294.8,95481.11
A_TO_B,8413255669840789.0,3294.8,95481.51
A_TO_B,8.690029578228898e+16,3294.8,95481.51
B_TO_A,6.951139747905047e-15,3293.87,95465.97
A_TO_B,9.902186841072693e+16,3293.87,95465.97
B_TO_A,8.643127765176693e-15,3294.4,95465.98
A_TO_B,1.1240595819028987e+17,3294.4,95465.98
A_TO_B,1.2591481902987238e+16,3294.01,95465.95
A_TO_B,1.3115557420428146e+17,3294.01,95465.95
A_TO_B,1.5082891033492368e+17,3293.46,95434.0
A_TO_B,1.734532468851622e+17,3293.91,95433.84
A_TO_B,1.9947123391793654e+17,3294.73,95459.54
A_TO_B,1.8171093765525216e+16,3293.98,95459.55
A_TO_B,2.3211758307045584e+17,3293.98,95459.55
B_TO_A,1.2703014720045067e-15,3293.98,95459.54
A_TO_B,2.657386006626838e+17,3293.98,95459.54
A_TO_B,3.055993907620864e+17,3297.38,95526.16
A_TO_B,3.514392993763994e+17,3296.57,95499.38
A_TO_B,4.041551942828593e+17,3298.13,95522.96
A_TO_B,4.6477847342528826e+17,3297.31,95522.95
A_TO_B,4.094657915671647e+16,3295.67,95499.66
A_TO_B,5.406372313125889e+17,3295.67,95499.66
A_TO_B,6.217328160094772e+17,3296.12,95479.44
A_TO_B,7.92780587094551e+16,3296.8,95491.96
A_TO_B,7.26884447217317e+17,3296.8,95491.96
A_TO_B,3.6374435586923944e+16,3297.2,95507.34
A_TO_B,8.413732796379532e+17,3297.2,95507.34
A_TO_B,9.675792715836461e+17,3298.13,95513.99
A_TO_B,6.863105177260949e+16,3298.14,95526.15
A_TO_B,1.1230108200870844e+18,3298.14,95526.15
B_TO_A,4.562165832446428e-16,3298.6,95535.04
A_TO_B,1.28143618875679e+18,3298.6,95535.04
A_TO_B,1.4736516170703084e+18,3299.65,95561.07
A_TO_B,1.6946993596308547e+18,3299.68,95575.45
A_TO_B,1.948904263575483e+18,3298.14,95537.57
A_TO_B,2.2412399031118052e+18,3299.24,95560.51
A_TO_B,2.577425888578576e+18,3298.31,95557.0
A_TO_B,2.9640397718653624e+18,3298.9,95544.97
A_TO_B,3.4086457376451666e+18,3299.88,95576.99
A_TO_B,3.919942598291942e+18,3299.0,95568.63
A_TO_B,4.507933988035733e+18,3298.72,95568.64
A_TO_B,5.184124086241093e+18,3297.25,95545.7
A_TO_B,5.961742699177257e+18,3295.95,95500.01
B_TO_A,2.1139159645336063e-16,3294.95,95479.82
A_TO_B,6.726542915735838e+18,3294.95,95479.82
A_TO_B,7.735524353096214e+18,3295.74,95500.01
A_TO_B,8.895853006060644e+18,3295.54,95500.0
B_TO_A,9.835128562764704e-17,3295.43,95500.0
A_TO_B,1.0095342305404846e+19,3295.43,95500.0
B_TO_A,7.807673464345029e-17,3294.93,95500.01
A_TO_B,1.1471556973140072e+19,3294.93,95500.01
A_TO_B,1.3192290519111082e+19,3297.04,95512.78
A_TO_B,1.5171134096977742e+19,3296.11,95506.01
A_TO_B,1.7446804211524403e+19,3295.61,95480.14
A_TO_B,8.226729474943438e+17,3294.99,95461.38
A_TO_B,2.0187225785377214e+19,3294.99,95461.38
A_TO_B,2.32153096531838e+19,3295.87,95492.85
A_TO_B,2.2597291567267164e+18,3295.88,95509.7
A_TO_B,2.7036565474670375e+19,3295.88,95509.7
A_TO_B,3.109205029587093e+19,3298.19,95546.0
A_TO_B,3.5755857840251572e+19,3296.64,95547.99
A_TO_B,1.817014295611644e+18,3295.94,95528.86
A_TO_B,4.139178866063105e+19,3295.94,95528.86
A_TO_B,4.760055695972571e+19,3296.8,95541.64
B_TO_A,1.3975222569874114e-17,3296.84,95541.64
A_TO_B,5.419011484717018e+19,3296.84,95541.64
A_TO_B,2.833740211138198e+18,3296.06,95541.64
A_TO_B,6.274369310591644e+19,3296.06,95541.64
A_TO_B,7.21552470718039e+19,3297.42,95562.13
A_TO_B,7.402883717275898e+18,3297.95,95562.13
A_TO_B,8.408896669016588e+19,3297.95,95562.13
A_TO_B,8.305409608513309e+18,3297.11,95562.13
A_TO_B,9.794812313496778e+19,3297.11,95562.13
A_TO_B,1.1264034160521295e+20,3297.0,95577.88
A_TO_B,1.295363928459949e+20,3296.82,95568.64
A_TO_B,1.4896685177289412e+20,3297.06,95568.64
B_TO_A,3.937850602694485e-18,3296.28,95550.94
A_TO_B,1.6979080753308598e+20,3296.28,95550.94
B_TO_A,4.6201612825030965e-18,3296.34,95568.64
A_TO_B,1.9294790626996466e+20,3296.34,95568.64
A_TO_B,6.7080221819001e+18,3295.28,95526.65
A_TO_B,2.2289629553774438e+20,3295.28,95526.65
A_TO_B,4.3468772554735365e+18,3294.59,95539.7
A_TO_B,2.5698277145672702e+20,3294.59,95539.7
B_TO_A,3.1078554660875314e-18,3293.64,95532.58
A_TO_B,2.9196905275366926e+20,3293.64,95532.58
A_TO_B,3.357644106667197e+20,3293.43,95539.7
B_TO_A,2.1127207086829974e-18,3293.67,95543.62
A_TO_B,3.819908252836399e+20,3293.67,95543.62
A_TO_B,3.8584716940358795e+19,3293.09,95578.2
A_TO_B,4.450771566172397e+20,3293.09,95578.2
A_TO_B,5.1183873010982565e+20,3292.35,95562.12
B_TO_A,2.803728460303287e-18,3292.25,95526.16
A_TO_B,5.759912739132001e+20,3292.25,95526.16
A_TO_B,6.623899650001801e+20,3292.8,95526.16
B_TO_A,1.4553855829353185e-18,3293.31,95567.24
A_TO_B,7.506964088658921e+20,3293.31,95567.24
A_TO_B,3.1285383961052164e+19,3294.05,95574.19
A_TO_B,8.679936777899335e+20,3294.05,95574.19
A_TO_B,9.981927294584236e+20,3292.86,95520.06
A_TO_B,1.1479216388771871e+21,3293.04,95533.07
A_TO_B,1.3201098847087653e+21,3293.86,95538.68
B_TO_A,7.730583376276809e-19,3292.75,95538.69
A_TO_B,1.4948293305587055e+21,3292.75,95538.69
A_TO_B,1.7190537301425112e+21,3295.03,95570.46
A_TO_B,1.976911789663888e+21,3293.38,95537.02
A_TO_B,2.273448558113471e+21,3293.43,95537.03
A_TO_B,2.6144658418304916e+21,3293.43,95537.02
A_TO_B,3.0066357181050656e+21,3293.98,95537.03
A_TO_B,3.4576310758208255e+21,3294.48,95537.02
A_TO_B,3.9762757371939494e+21,3294.14,95526.15
B_TO_A,5.632765515336022e-20,3293.15,95503.6
A_TO_B,4.5571296048130855e+21,3293.15,95503.6
B_TO_A,1.1052627079575888e-19,3292.48,95503.6
A_TO_B,5.200694900035667e+21,3292.48,95503.6
B_TO_A,1.2161151853198951e-19,3293.64,95515.89
A_TO_B,5.923584464957268e+21,3293.64,95515.89
A_TO_B,8.431914715959327e+20,3294.4,95519.39
A_TO_B,6.938600855440249e+21,3294.4,95519.39
A_TO_B,7.979390983756286e+21,3292.98,95481.45
B_TO_A,5.1504134774942054e-20,3292.72,95481.12
A_TO_B,9.119066311246664e+21,3292.72,95481.12
A_TO_B,1.0486926257933664e+22,3292.3,95479.43
A_TO_B,1.205996519662371e+22,3291.86,95475.11
A_TO_B,1.3868959976117267e+22,3291.39,95475.1
A_TO_B,6.239162825793199e+20,3292.03,95458.0
A_TO_B,1.6042891414921758e+22,3292.03,95458.0
A_TO_B,1.844932512716002e+22,3292.39,95464.65
A_TO_B,2.1216723896234024e+22,3290.95,95456.01
A_TO_B,2.4399232480669126e+22,3290.4,95436.9
A_TO_B,2.8059117352769496e+22,3291.51,95448.21
A_TO_B,2.0453035111453596e+21,3291.57,95499.3
A_TO_B,3.257478048235672e+22,3291.57,95499.3
A_TO_B,1.6689145548802074e+21,3291.15,95471.78
A_TO_B,3.771133473794226e+22,3291.15,95471.78
A_TO_B,4.33680349486336e+22,3290.81,95465.97
A_TO_B,4.987324019092864e+22,3290.83,95465.97
A_TO_B,5.735422621956794e+22,3290.99,95465.97
A_TO_B,6.874155052671087e+21,3291.98,95503.4
A_TO_B,6.698848341040379e+22,3291.98,95503.4
A_TO_B,7.703675592196435e+22,3294.13,95522.83
A_TO_B,8.859226931025901e+22,3292.39,95470.95
A_TO_B,3.124586631139804e+21,3292.98,95487.76
A_TO_B,1.0234979770146884e+23,3292.98,95487.76
A_TO_B,1.1770226735668918e+23,3292.77,95495.7
B_TO_A,2.371421799245782e-21,3292.4,95495.71
A_TO_B,1.3478307348384576e+23,3292.4,95495.71
A_TO_B,1.5500053450642263e+23,3292.39,95511.02
A_TO_B,1.7825061468238603e+23,3292.76,95507.92
A_TO_B,1.0674282261970934e+22,3291.82,95495.71
A_TO_B,2.0658934922403958e+23,3291.82,95495.71
A_TO_B,1.1894469111738922e+22,3291.66,95484.9
A_TO_B,2.3936192197440635e+23,3291.66,95484.9
A_TO_B,3.6055579886364024e+22,3291.72,95485.01
A_TO_B,2.806745472535219e+23,3291.72,95485.01
A_TO_B,3.227757293415502e+23,3291.36,95479.99
A_TO_B,3.711920887427827e+23,3291.72,95479.99
B_TO_A,2.601484891320767e-21,3292.17,95495.54
A_TO_B,4.206672779424192e+23,3292.17,95495.54
A_TO_B,3.3662972434021676e+22,3292.18,95495.54
A_TO_B,4.888168154988853e+23,3292.18,95495.54
A_TO_B,5.621393378237181e+23,3292.69,95499.99
A_TO_B,6.464602384972757e+23,3292.91,95499.99
A_TO_B,1.919446367042845e+22,3292.91,95465.97
A_TO_B,7.463084438224315e+23,3292.91,95465.97
A_TO_B,8.137293075240116e+22,3292.7,95465.98
A_TO_B,8.704606500086563e+23,3292.7,95465.98
A_TO_B,1.0010297475099548e+24,3293.52,95494.83
A_TO_B,1.151184209636448e+24,3293.49,95500.0
A_TO_B,4.411922502967646e+22,3293.9,95500.0
A_TO_B,1.3304797248363668e+24,3293.9,95500.0
B_TO_A,1.1202239341868132e-22,3293.19,95491.54
A_TO_B,1.5265769737545875e+24,3293.19,95491.54
