direction,amount_in,price_a_usd,price_b_usd
A_TO_B,1000.0,1322.56,40357.18
B_TO_A,1000.0,1321.6,40338.23
A_TO_B,1000.0,1321.6,40338.23
B_TO_A,1000.0,1317.89,40315.75
A_TO_B,1000.0,1317.89,40315.75
A_TO_B,1000.0,1316.46,40286.04
A_TO_B,1000.0,1316.46,40286.04
A_TO_B,1000.0,1318.78,40375.78
A_TO_B,1000.0,1318.78,40375.78
B_TO_A,1000.0,1319.6,40301.51
A_TO_B,1000.0,1319.6,40301.51
A_TO_B,1000.0,1321.19,40366.68
B_TO_A,1000.0,1322.94,40398.7
A_TO_B,1000.0,1322.94,40398.7
A_TO_B,1000.0,1322.2,40379.88
A_TO_B,1000.0,1322.2,40379.88
A_TO_B,1000.0,1323.75,40437.53
B_TO_A,1000.0,1322.71,40397.72
A_TO_B,1000.0,1322.71,40397.72
A_TO_B,1000.0,1321.0,40392.01
B_TO_A,1000.0,1318.46,40342.46
A_TO_B,1000.0,1318.46,40342.46
A_TO_B,1000.0,1319.7,40337.01
A_TO_B,1000.0,1319.7,40337.01
A_TO_B,1000.0,1322.0,40419.99
A_TO_B,1000.0,1323.54,40512.36
A_TO_B,1000.0,1322.01,40469.07
B_TO_A,1000.0,1321.18,40425.33
A_TO_B,1000.0,1321.18,40425.33
A_TO_B,1000.0,1322.95,40462.63
A_TO_B,1000.0,1324.1,40475.0
A_TO_B,1000.0,1324.96,40501.66
A_TO_B,1000.0,1325.0,40497.31
A_TO_B,1000.0,1323.52,40478.64
A_TO_B,1000.0,1324.17,40500.03
A_TO_B,1000.0,1322.98,40509.78
B_TO_A,1000.0,1321.95,40476.41
A_TO_B,1000.0,1321.95,40476.41
B_TO_A,1000.0,1321.52,40467.88
A_TO_B,1000.0,1321.52,40467.88
B_TO_A,1000.0,1321.28,40442.23
A_TO_B,1000.0,1321.28,40442.23
A_TO_B,1000.0,1322.91,40479.76
A_TO_B,1000.0,1322.91,40479.76
A_TO_B,1000.0,1323.04,40461.74
B_TO_A,1000.0,1324.81,40531.11
A_TO_B,1000.0,1324.81,40531.11
A_TO_B,1000.0,1326.38,40567.55
A_TO_B,1000.0,1325.04,40533.14
A_TO_B,1000.0,1324.18,40489.0
A_TO_B,1000.0,1322.6,40465.48
A_TO_B,1000.0,1322.6,40465.48
A_TO_B,1000.0,1325.72,40550.53
A_TO_B,1000.0,1328.13,40635.24
A_TO_B,1000.0,1325.56,40568.73
A_TO_B,1000.0,1325.24,40514.03
A_TO_B,1000.0,1326.06,40542.99
A_TO_B,1000.0,1326.06,40542.99
